id,latitude,longitude
38602,5.07248640,-75.51713280
39369,5.05922760,-75.48946570
38605,5.07248640,-75.51713280
38607,5.07248640,-75.51713280
38608,5.07248640,-75.51713280
38609,5.07248640,-75.51713280
38610,5.07248640,-75.51713280
38612,5.07248640,-75.51713280
38613,5.07248640,-75.51713280
38616,5.07248640,-75.51713280
38615,5.07248640,-75.51713280
38617,5.07248640,-75.51713280
38618,5.07248640,-75.51713280
38619,5.07248640,-75.51713280
38620,5.07248640,-75.51713280
38621,5.07248640,-75.51713280
38623,5.07248640,-75.51713280
38624,5.07248640,-75.51713280
38625,5.07248640,-75.51713280
38628,5.07248640,-75.51713280
38627,5.07248640,-75.51713280
38629,5.07248640,-75.51713280
38633,5.07248640,-75.51713280
38634,5.07248640,-75.51713280
38635,5.07248640,-75.51713280
38833,5.07248640,-75.51713280
38636,5.07248640,-75.51713280
38637,5.07248640,-75.51713280
38639,5.07248640,-75.51713280
38641,5.07248640,-75.51713280
38640,5.07248640,-75.51713280
38642,5.07248640,-75.51713280
38643,5.06920960,-75.51385600
38644,5.06920960,-75.51385600
38645,5.06920960,-75.51385600
38647,5.06920960,-75.51385600
38646,5.06920960,-75.51385600
38648,5.06920960,-75.51385600
38649,5.06920960,-75.51385600
38650,5.06920960,-75.51385600
38651,5.06920960,-75.51385600
38654,5.06920960,-75.51385600
38652,5.06920960,-75.51385600
38653,5.06920960,-75.51385600
38655,5.06920960,-75.51385600
38656,5.06920960,-75.51385600
38657,5.06920960,-75.51385600
38658,5.06920960,-75.51385600
38659,5.06920960,-75.51385600
38660,5.06920960,-75.51385600
38661,5.06920960,-75.51385600
38662,5.06920960,-75.51385600
38663,5.06920960,-75.51385600
38664,5.06920960,-75.51385600
38665,5.06920960,-75.51385600
38666,5.06920960,-75.51385600
38671,5.06920960,-75.51385600
38668,5.06920960,-75.51385600
38669,5.06920960,-75.51385600
38670,5.06920960,-75.51385600
38672,5.06920960,-75.51385600
38673,5.06920960,-75.51385600
38674,5.06920960,-75.51385600
38675,5.06920960,-75.51385600
38677,5.06920960,-75.51385600
38678,5.06920960,-75.51385600
38679,5.06920960,-75.51385600
38680,5.06920960,-75.51385600
38681,5.06920960,-75.51385600
38682,5.06920960,-75.51385600
38683,5.06920960,-75.51385600
38684,5.06920960,-75.51385600
38685,5.06920960,-75.51385600
38688,5.06920960,-75.51385600
38687,5.06920960,-75.51385600
38689,5.06920960,-75.51385600
38690,5.06920960,-75.51385600
38691,5.06920960,-75.51385600
38692,5.06920960,-75.51385600
38693,5.06920960,-75.51385600
38694,5.06920960,-75.51385600
38696,5.06920960,-75.51385600
38695,5.06920960,-75.51385600
38697,5.06920960,-75.51385600
38701,5.06920960,-75.51385600
38698,5.06920960,-75.51385600
38699,5.06920960,-75.51385600
38700,5.06920960,-75.51385600
38704,5.06920960,-75.51385600
38702,5.06920960,-75.51385600
38703,5.06920960,-75.51385600
38705,5.06920960,-75.51385600
38706,5.06920960,-75.51385600
38707,5.06920960,-75.51385600
38708,5.06920960,-75.51385600
38709,5.06920960,-75.51385600
38711,5.06920960,-75.51385600
38712,5.06920960,-75.51385600
38714,5.06920960,-75.51385600
38744,5.06920960,-75.51385600
38719,5.06920960,-75.51385600
38713,5.06920960,-75.51385600
38715,5.06920960,-75.51385600
38716,5.06920960,-75.51385600
38717,5.06920960,-75.51385600
38718,5.06920960,-75.51385600
38720,5.06920960,-75.51385600
38721,5.06920960,-75.51385600
38733,5.06920960,-75.51385600
38723,5.06920960,-75.51385600
38724,5.06920960,-75.51385600
38725,5.06920960,-75.51385600
38726,5.06920960,-75.51385600
38727,5.06920960,-75.51385600
38728,5.06920960,-75.51385600
38729,5.06920960,-75.51385600
38730,5.06920960,-75.51385600
38731,5.06920960,-75.51385600
38739,5.06920960,-75.51385600
38732,5.06920960,-75.51385600
38734,5.06920960,-75.51385600
38736,5.06920960,-75.51385600
38737,5.06920960,-75.51385600
38738,5.06920960,-75.51385600
