id,latitude,longitude,barrio,localidad,ciudad
38562,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38564,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38573,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38565,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38566,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38567,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38568,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38570,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38571,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38572,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38574,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38575,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38578,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38576,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38577,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38580,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38582,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38581,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38585,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38584,5.0692096,-75.513856,Los Agustinos,Comuna Cumanday,Perímetro Urbano Manizales
38614,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38587,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38588,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38589,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38590,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38591,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38592,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38596,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
38611,5.0724864,-75.5171328,Colón,Comuna San José,Perímetro Urbano Manizales
